edad,p2,p3_1,p3_2,p3_3,p3_4,p3_5,p8_1,p8_2,p14_1,p14_2,p20_1,p20_2,p26,p30,p32,p34_4,year,grupo_edad,grupo_edad_numerico,reads_physical,reads_digital
26,1,1,2,2,2,2,1,2,0,0,0,0,60,3,0,1,2024,18-30,1,1,0
48,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,2024,46-55,3,0,0
23,1,1,2,2,2,2,2,1,0,0,0,0,30,1,0,2,2024,18-30,1,1,0
26,1,1,2,2,2,2,1,2,0,0,0,0,60,3,0,1,2024,18-30,1,1,0
49,1,2,2,2,2,1,0,0,0,0,0,0,20,3,0,2,2024,46-55,3,0,1
26,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2024,18-30,1,0,0
58,1,2,1,2,2,2,0,0,2,1,0,0,15,4,0,2,2024,56-70,4,1,0
75,2,2,2,2,2,2,0,0,0,0,0,0,0,0,5,2,2024,70+,5,0,0
51,1,1,2,2,2,2,2,1,0,0,0,0,120,4,0,2,2024,46-55,3,1,0
35,1,2,1,1,2,2,0,0,1,1,2,1,15,3,0,1,2024,31-45,2,1,0
34,1,1,2,1,2,1,1,2,0,0,1,2,60,4,0,1,2024,31-45,2,1,1
43,2,1,2,2,2,2,2,1,0,0,0,0,30,2,0,1,2024,31-45,2,1,0
37,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,2024,31-45,2,0,0
54,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,2,2024,46-55,3,0,0
27,1,1,2,2,2,2,1,1,0,0,0,0,30,3,0,1,2024,18-30,1,1,0
65,1,1,2,2,2,2,2,1,0,0,0,0,45,2,0,2,2024,56-70,4,1,0
72,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2024,70+,5,0,0
44,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,2,2024,31-45,2,0,0
37,1,2,1,2,2,1,0,0,2,1,0,0,30,3,0,2,2024,31-45,2,1,1
69,2,2,2,2,2,2,0,0,0,0,0,0,0,0,5,2,2024,56-70,4,0,0
50,1,1,2,2,2,2,2,1,0,0,0,0,45,3,0,1,2024,46-55,3,1,0
54,1,1,2,1,2,2,2,1,0,0,1,1,30,4,0,1,2024,46-55,3,1,0
66,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,2,2024,56-70,4,0,0
34,1,2,2,2,2,2,0,0,0,0,0,0,0,0,3,1,2024,31-45,2,0,0
61,2,2,2,2,2,2,0,0,0,0,0,0,0,0,5,1,2024,56-70,4,0,0
66,1,2,2,1,2,2,0,0,0,0,2,1,90,3,0,1,2024,56-70,4,1,0
83,1,2,2,1,2,2,0,0,0,0,2,1,60,1,0,2,2024,70+,5,1,0
48,1,1,2,1,2,1,1,2,0,0,1,2,25,4,0,1,2024,46-55,3,1,1
46,1,1,2,1,2,2,1,2,0,0,2,1,45,3,0,1,2024,46-55,3,1,0
54,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,2,2024,46-55,3,0,0
71,1,2,2,2,2,2,0,0,0,0,0,0,0,0,1,2,2024,70+,5,0,0
53,1,1,2,2,2,2,2,1,0,0,0,0,30,3,0,1,2024,46-55,3,1,0
49,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,2,2024,46-55,3,0,0
65,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,2,2024,56-70,4,0,0
65,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,2,2024,56-70,4,0,0
65,2,2,2,2,2,2,0,0,0,0,0,0,0,0,5,2,2024,56-70,4,0,0
36,1,1,1,2,2,1,2,1,2,1,0,0,90,3,0,1,2024,31-45,2,1,1
20,1,1,2,2,2,2,1,1,0,0,0,0,120,3,0,1,2024,18-30,1,1,0
63,1,1,2,1,2,2,2,1,0,0,2,1,30,3,0,2,2024,56-70,4,1,0
62,1,1,1,1,2,2,2,1,2,1,2,1,60,3,0,1,2024,56-70,4,1,0
79,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,1,2024,70+,5,0,0
59,1,1,1,1,2,1,1,2,1,2,1,1,120,3,0,1,2024,56-70,4,1,1
48,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,2024,46-55,3,0,0
48,2,2,2,1,2,2,0,0,0,0,2,1,15,3,0,1,2024,46-55,3,1,0
47,1,2,2,2,2,1,0,0,0,0,0,0,20,3,0,2,2024,46-55,3,0,1
30,1,2,2,2,2,1,0,0,0,0,0,0,60,3,0,1,2024,18-30,1,0,1
20,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,2,2024,18-30,1,0,0
77,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,2024,70+,5,0,0
39,1,2,2,1,2,2,0,0,0,0,2,1,60,3,0,1,2024,31-45,2,1,0
59,2,2,2,2,2,1,0,0,0,0,0,0,30,1,0,2,2024,56-70,4,0,1
74,1,1,2,2,2,2,2,1,0,0,0,0,120,2,0,2,2024,70+,5,1,0
62,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,2,2024,56-70,4,0,0
42,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2024,31-45,2,0,0
45,1,1,2,2,2,2,2,1,0,0,0,0,60,3,0,1,2024,31-45,2,1,0
57,2,2,1,2,2,2,0,0,2,1,0,0,25,3,0,2,2024,56-70,4,1,0
54,2,2,1,2,2,2,0,0,2,1,0,0,25,3,0,2,2024,46-55,3,1,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,31-45,2,0,0
53,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,2,2024,46-55,3,0,0
31,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2024,31-45,2,0,0
34,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,2,2024,31-45,2,0,0
47,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,2,2024,46-55,3,0,0
29,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2024,18-30,1,0,0
26,1,1,2,2,2,2,2,1,0,0,0,0,60,4,0,2,2024,18-30,1,1,0
48,1,1,2,2,2,2,2,1,0,0,0,0,30,3,0,2,2024,46-55,3,1,0
40,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2024,31-45,2,0,0
27,1,1,2,2,2,2,2,1,0,0,0,0,90,3,0,1,2024,18-30,1,1,0
33,2,2,1,2,2,2,0,0,2,1,0,0,35,4,0,1,2024,31-45,2,1,0
28,1,1,2,2,2,2,2,1,0,0,0,0,30,3,0,2,2024,18-30,1,1,0
32,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,2,2024,31-45,2,0,0
68,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2024,56-70,4,0,0
75,2,2,1,2,2,2,0,0,2,1,0,0,20,3,0,2,2024,70+,5,1,0
56,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,1,2024,56-70,4,0,0
36,2,2,1,2,2,2,0,0,2,1,0,0,25,4,0,2,2024,31-45,2,1,0
65,2,2,2,2,2,2,0,0,0,0,0,0,0,0,5,1,2024,56-70,4,0,0
43,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2024,31-45,2,0,0
24,2,2,1,2,2,2,0,0,2,1,0,0,30,4,0,2,2024,18-30,1,1,0
52,2,2,1,2,2,2,0,0,2,1,0,0,30,4,0,2,2024,46-55,3,1,0
47,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,2,2024,46-55,3,0,0
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,70+,5,0,0
20,1,1,2,2,2,2,2,1,0,0,0,0,60,3,0,2,2024,18-30,1,1,0
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,70+,5,0,0
36,2,2,1,2,2,2,0,0,2,1,0,0,40,4,0,2,2024,31-45,2,1,0
57,2,2,1,2,2,2,0,0,2,1,0,0,25,3,0,2,2024,56-70,4,1,0
21,1,1,2,1,2,2,2,1,0,0,2,1,30,3,0,2,2024,18-30,1,1,0
33,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,2,2024,31-45,2,0,0
39,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,2,2024,31-45,2,0,0
44,2,2,2,1,2,2,0,0,0,0,2,1,20,4,0,2,2024,31-45,2,1,0
58,2,2,2,2,2,2,0,0,0,0,0,0,0,0,5,2,2024,56-70,4,0,0
63,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,2,2024,56-70,4,0,0
36,2,2,1,2,2,2,0,0,2,1,0,0,30,4,0,2,2024,31-45,2,1,0
44,2,2,2,2,2,2,0,0,0,0,0,0,0,0,5,2,2024,31-45,2,0,0
40,1,2,2,1,1,2,0,0,0,0,2,1,15,3,0,2,2024,31-45,2,1,0
26,1,1,1,2,2,1,1,2,2,1,0,0,180,3,0,1,2024,18-30,1,1,1
49,1,1,2,2,2,1,2,1,0,0,0,0,30,2,0,1,2024,46-55,3,1,1
66,1,1,1,1,2,1,2,1,2,1,1,2,60,4,0,1,2024,56-70,4,1,1
51,1,1,1,1,2,1,2,1,1,1,1,2,120,3,0,1,2024,46-55,3,1,1
61,1,2,2,1,2,2,0,0,0,0,2,1,10,4,0,1,2024,56-70,4,1,0
74,1,1,2,2,2,2,1,2,0,0,0,0,60,3,0,1,2024,70+,5,1,0
51,1,2,1,2,2,1,0,0,2,1,0,0,10,4,0,1,2024,46-55,3,1,1
54,1,1,1,1,2,2,2,1,1,2,1,2,30,4,0,1,2024,46-55,3,1,0
39,1,1,1,2,2,1,2,1,2,1,0,0,60,4,0,1,2024,31-45,2,1,1
67,1,2,1,2,2,2,0,0,1,2,0,0,30,1,0,2,2024,56-70,4,1,0
43,1,1,2,2,2,1,2,1,0,0,0,0,15,2,0,2,2024,31-45,2,1,1
42,1,2,2,2,2,1,0,0,0,0,0,0,60,3,0,1,2024,31-45,2,0,1
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,70+,5,0,0
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,70+,5,0,0
73,1,2,1,2,2,2,0,0,2,1,0,0,10,1,0,2,2024,70+,5,1,0
53,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,3,2024,46-55,3,0,0
35,1,1,2,2,2,1,2,1,0,0,0,0,30,3,0,1,2024,31-45,2,1,1
85,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,1,2024,70+,5,0,0
67,2,2,1,2,2,1,0,0,2,1,0,0,30,3,0,2,2024,56-70,4,1,1
32,1,1,2,2,2,2,2,1,0,0,0,0,30,4,0,1,2024,31-45,2,1,0
59,1,1,1,1,2,2,2,1,1,2,1,2,90,4,0,1,2024,56-70,4,1,0
67,1,1,1,2,2,1,2,1,2,1,0,0,60,3,0,1,2024,56-70,4,1,1
36,1,1,2,2,2,1,1,2,0,0,0,0,30,4,0,1,2024,31-45,2,1,1
61,1,1,1,2,2,1,1,2,1,2,0,0,30,3,0,1,2024,56-70,4,1,1
77,1,1,1,1,2,2,2,1,2,1,2,1,20,4,0,1,2024,70+,5,1,0
37,2,2,1,2,2,1,0,0,1,2,0,0,60,3,0,1,2024,31-45,2,1,1
36,1,1,2,1,2,1,1,1,0,0,2,1,30,4,0,1,2024,31-45,2,1,1
38,1,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2024,31-45,2,0,0
28,2,2,2,2,2,1,0,0,0,0,0,0,30,4,0,2,2024,18-30,1,0,1
48,1,1,2,2,2,2,2,1,0,0,0,0,60,4,0,3,2024,46-55,3,1,0
89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,70+,5,0,0
36,1,2,1,2,2,2,0,0,1,2,0,0,40,4,0,1,2024,31-45,2,1,0
46,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,2024,46-55,3,0,0
41,1,2,2,2,2,1,0,0,0,0,0,0,10,4,0,2,2024,31-45,2,0,1
50,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,2024,46-55,3,0,0
40,1,1,1,2,2,1,2,1,2,1,0,0,15,4,0,1,2024,31-45,2,1,1
30,1,1,2,2,2,1,2,1,0,0,0,0,60,4,0,3,2024,18-30,1,1,1
45,1,1,2,2,2,2,2,1,0,0,0,0,60,2,0,2,2024,31-45,2,1,0
79,1,2,2,2,2,2,0,0,0,0,0,0,0,0,4,2,2024,70+,5,0,0
35,2,2,2,2,1,1,0,0,0,0,0,0,10,2,0,2,2024,31-45,2,1,1
60,1,2,1,2,2,2,0,0,2,1,0,0,30,3,0,1,2024,56-70,4,1,0
29,1,1,1,1,2,1,2,1,2,1,2,1,30,2,0,1,2024,18-30,1,1,1
78,1,1,1,1,2,2,2,1,2,1,2,1,60,3,0,1,2024,70+,5,1,0
67,1,1,1,1,2,1,2,1,2,1,2,1,180,3,0,2,2024,56-70,4,1,1
76,1,1,1,2,2,2,2,1,2,1,0,0,40,1,0,1,2024,70+,5,1,0
42,1,1,2,2,2,1,2,1,0,0,0,0,60,3,0,1,2024,31-45,2,1,1
65,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,2,2024,56-70,4,0,0
53,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,2,2024,46-55,3,0,0
33,1,1,2,2,2,2,2,1,0,0,0,0,25,4,0,1,2024,31-45,2,1,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,18-30,1,0,0
40,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,2,2024,31-45,2,0,0
24,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,1,2024,18-30,1,0,0
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,70+,5,0,0
38,2,2,2,2,2,1,0,0,0,0,0,0,25,3,0,1,2024,31-45,2,0,1
51,2,2,1,2,2,2,0,0,2,1,0,0,20,3,0,1,2024,46-55,3,1,0
33,1,1,2,2,2,1,2,1,0,0,0,0,20,3,0,1,2024,31-45,2,1,1
59,1,1,2,2,2,2,2,1,0,0,0,0,20,3,0,2,2024,56-70,4,1,0
23,1,1,2,2,2,2,2,1,0,0,0,0,60,4,0,1,2024,18-30,1,1,0
63,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,2,2024,56-70,4,0,0
53,1,1,1,1,2,2,1,1,2,1,2,1,60,3,0,1,2024,46-55,3,1,0
34,1,1,1,1,2,1,2,1,2,1,2,1,20,3,0,1,2024,31-45,2,1,1
48,1,1,1,2,2,2,2,1,2,1,0,0,40,3,0,1,2024,46-55,3,1,0
28,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,2,2024,18-30,1,0,0
47,1,1,2,2,2,2,2,1,0,0,0,0,60,3,0,2,2024,46-55,3,1,0
40,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,2,2024,31-45,2,0,0
38,2,2,1,2,2,2,0,0,2,1,0,0,15,2,0,1,2024,31-45,2,1,0
41,1,2,2,2,2,1,0,0,0,0,0,0,30,3,0,1,2024,31-45,2,0,1
54,1,2,1,1,2,2,0,0,2,1,2,1,15,2,0,1,2024,46-55,3,1,0
71,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,2,2024,70+,5,0,0
26,1,1,2,2,2,1,1,2,0,0,0,0,2,3,0,1,2024,18-30,1,1,1
52,1,1,2,2,2,2,2,1,0,0,0,0,30,4,0,1,2024,46-55,3,1,0
38,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,1,2024,31-45,2,0,0
65,1,1,1,2,2,2,1,2,2,1,0,0,15,2,0,1,2024,56-70,4,1,0
53,2,2,2,2,2,1,0,0,0,0,0,0,60,1,0,1,2024,46-55,3,0,1
38,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,2,2024,31-45,2,0,0
50,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,2,2024,46-55,3,0,0
31,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,2,2024,31-45,2,0,0
43,1,2,1,2,1,2,0,0,2,1,0,0,20,1,0,2,2024,31-45,2,1,0
56,2,2,2,2,2,1,0,0,0,0,0,0,30,1,0,1,2024,56-70,4,0,1
33,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,2024,31-45,2,0,0
50,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,2024,46-55,3,0,0
62,2,1,2,2,2,2,2,1,0,0,0,0,10,2,0,2,2024,56-70,4,1,0
52,1,2,1,2,2,2,0,0,2,1,0,0,30,1,0,1,2024,46-55,3,1,0
73,2,2,2,1,2,2,0,0,0,0,2,1,10,3,0,2,2024,70+,5,1,0
85,1,1,1,2,2,2,2,1,2,1,0,0,20,1,0,1,2024,70+,5,1,0
45,2,1,2,2,2,2,1,2,0,0,0,0,60,3,0,2,2024,31-45,2,1,0
76,2,2,2,2,2,2,0,0,0,0,0,0,0,0,5,2,2024,70+,5,0,0
54,1,1,2,1,2,1,2,1,0,0,1,2,60,3,0,1,2024,46-55,3,1,1
55,1,1,1,1,2,1,2,1,1,2,1,2,30,3,0,1,2024,46-55,3,1,1
86,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,2024,70+,5,0,0
44,1,1,2,2,2,1,1,2,0,0,0,0,40,3,0,1,2024,31-45,2,1,1
32,1,1,2,2,2,1,2,1,0,0,0,0,30,3,0,1,2024,31-45,2,1,1
54,2,1,2,2,2,2,2,1,0,0,0,0,20,3,0,1,2024,46-55,3,1,0
50,1,1,2,2,2,1,1,2,0,0,0,0,120,3,0,1,2024,46-55,3,1,1
53,1,2,2,2,2,2,0,0,0,0,0,0,0,0,3,1,2024,46-55,3,0,0
32,1,2,1,2,2,1,0,0,2,1,0,0,20,4,0,2,2024,31-45,2,1,1
52,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,1,2024,46-55,3,0,0
42,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,1,2024,31-45,2,0,0
27,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,1,2024,18-30,1,0,0
28,1,1,2,2,2,1,2,1,0,0,0,0,15,3,0,1,2024,18-30,1,1,1
30,1,1,2,1,2,1,2,1,0,0,2,1,15,3,0,1,2024,18-30,1,1,1
47,1,1,2,2,2,2,2,1,0,0,0,0,45,3,0,1,2024,46-55,3,1,0
30,1,1,2,2,2,2,2,1,0,0,0,0,20,3,0,1,2024,18-30,1,1,0
30,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,1,2024,18-30,1,0,0
40,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,1,2024,31-45,2,0,0
76,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2024,70+,5,0,0
73,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,1,2024,70+,5,0,0
44,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,2,2024,31-45,2,0,0
32,1,1,2,2,2,1,2,1,0,0,0,0,60,3,0,1,2024,31-45,2,1,1
65,1,1,2,1,2,2,2,1,0,0,2,1,15,2,0,2,2024,56-70,4,1,0
27,1,1,1,2,2,2,2,1,2,1,0,0,30,1,0,1,2024,18-30,1,1,0
42,2,2,1,2,2,2,0,0,2,1,0,0,5,4,0,1,2024,31-45,2,1,0
70,1,1,1,2,2,2,2,1,2,1,0,0,30,3,0,1,2024,56-70,4,1,0
70,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,2024,56-70,4,0,0
24,2,2,2,2,2,1,0,0,0,0,0,0,60,4,0,2,2024,18-30,1,0,1
56,1,2,1,2,2,1,0,0,2,1,0,0,30,3,0,2,2024,56-70,4,1,1
74,1,2,1,2,2,2,0,0,2,1,0,0,30,4,0,1,2024,70+,5,1,0
52,1,1,2,2,2,2,2,1,0,0,0,0,20,3,0,1,2024,46-55,3,1,0
20,1,1,2,2,2,2,1,2,0,0,0,0,40,4,0,1,2024,18-30,1,1,0
41,1,1,1,2,2,1,2,1,2,1,0,0,30,3,0,1,2024,31-45,2,1,1
65,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,2,2024,56-70,4,0,0
55,1,2,2,2,2,1,0,0,0,0,0,0,60,3,0,2,2024,46-55,3,0,1
57,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,2,2024,56-70,4,0,0
29,1,1,2,2,2,2,1,2,0,0,0,0,30,4,0,1,2024,18-30,1,1,0
71,2,2,2,2,2,2,0,0,0,0,0,0,0,0,5,1,2024,70+,5,0,0
30,1,1,2,2,2,2,2,1,0,0,0,0,60,4,0,1,2024,18-30,1,1,0
81,1,2,1,2,2,2,0,0,2,1,0,0,15,1,0,1,2024,70+,5,1,0
29,1,2,2,2,2,1,0,0,0,0,0,0,25,4,0,1,2024,18-30,1,0,1
64,1,1,2,2,2,2,2,1,0,0,0,0,30,4,0,1,2024,56-70,4,1,0
26,1,1,2,1,2,1,2,1,0,0,2,1,30,3,0,1,2024,18-30,1,1,1
50,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,1,2024,46-55,3,0,0
26,1,1,2,2,2,2,2,1,0,0,0,0,15,4,0,1,2024,18-30,1,1,0
57,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,3,2024,56-70,4,0,0
45,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,2,2024,31-45,2,0,0
24,1,1,1,2,2,1,2,1,2,1,0,0,60,3,0,2,2024,18-30,1,1,1
59,1,2,2,2,2,2,0,0,0,0,0,0,0,0,1,2,2024,56-70,4,0,0
50,1,2,2,2,2,1,0,0,0,0,0,0,40,3,0,1,2024,46-55,3,0,1
35,1,1,1,2,2,2,1,2,2,1,0,0,30,3,0,1,2024,31-45,2,1,0
23,1,1,1,2,2,1,2,1,1,2,0,0,20,4,0,1,2024,18-30,1,1,1
81,1,1,1,2,2,2,2,1,2,1,0,0,40,1,0,2,2024,70+,5,1,0
48,1,1,1,2,2,1,2,1,2,1,0,0,30,3,0,1,2024,46-55,3,1,1
25,1,1,1,2,2,1,2,1,2,1,0,0,60,3,0,1,2024,18-30,1,1,1
75,1,1,1,2,2,2,2,1,2,1,0,0,30,3,0,1,2024,70+,5,1,0
38,2,2,2,2,2,1,0,0,0,0,0,0,15,4,0,2,2024,31-45,2,0,1
61,2,2,1,2,2,2,0,0,2,1,0,0,15,3,0,2,2024,56-70,4,1,0
23,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,2,2024,18-30,1,0,0
28,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,2,2024,18-30,1,0,0
37,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,2,2024,31-45,2,0,0
40,1,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2024,31-45,2,0,0
41,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,2,2024,31-45,2,0,0
29,1,1,2,2,2,1,2,1,0,0,0,0,30,3,0,1,2024,18-30,1,1,1
33,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,1,2024,31-45,2,0,0
50,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,1,2024,46-55,3,0,0
30,1,1,2,2,2,2,2,1,0,0,0,0,45,2,0,1,2024,18-30,1,1,0
58,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2024,56-70,4,0,0
51,1,1,2,2,2,2,2,1,0,0,0,0,30,3,0,1,2024,46-55,3,1,0
61,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,2,2024,56-70,4,0,0
78,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,2,2024,70+,5,0,0
87,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,2,2024,70+,5,0,0
38,1,2,2,2,2,2,0,0,0,0,0,0,0,0,1,2,2024,31-45,2,0,0
30,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,1,2024,18-30,1,0,0
75,1,1,1,2,2,2,2,1,2,1,0,0,20,1,0,1,2024,70+,5,1,0
26,1,1,2,1,2,1,2,1,0,0,2,1,45,3,0,2,2024,18-30,1,1,1
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,31-45,2,0,0
63,1,2,1,2,2,2,0,0,2,1,0,0,20,2,0,2,2024,56-70,4,1,0
20,1,1,2,2,2,1,2,1,0,0,0,0,30,3,0,1,2024,18-30,1,1,1
74,2,2,2,2,2,2,0,0,0,0,0,0,0,0,5,2,2024,70+,5,0,0
81,2,2,2,2,2,2,0,0,0,0,0,0,0,0,5,2,2024,70+,5,0,0
45,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,1,2024,31-45,2,0,0
48,1,1,2,2,2,1,2,1,0,0,0,0,90,3,0,1,2024,46-55,3,1,1
37,1,1,2,2,2,2,2,1,0,0,0,0,30,3,0,1,2024,31-45,2,1,0
36,2,2,2,2,2,1,0,0,0,0,0,0,60,3,0,2,2024,31-45,2,0,1
21,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,2,2024,18-30,1,0,0
30,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,2,2024,18-30,1,0,0
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,56-70,4,0,0
25,1,2,1,2,2,1,0,0,2,1,0,0,60,3,0,2,2024,18-30,1,1,1
23,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2024,18-30,1,0,0
51,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,2,2024,46-55,3,0,0
37,2,2,2,2,2,1,0,0,0,0,0,0,90,3,0,2,2024,31-45,2,0,1
70,1,1,2,2,2,2,2,1,0,0,0,0,15,3,0,2,2024,56-70,4,1,0
37,2,2,2,2,2,1,0,0,0,0,0,0,60,3,0,2,2024,31-45,2,0,1
72,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2024,70+,5,0,0
32,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,2,2024,31-45,2,0,0
64,1,2,2,2,2,2,0,0,0,0,0,0,0,0,3,2,2024,56-70,4,0,0
64,1,1,2,2,2,2,2,1,0,0,0,0,20,2,0,1,2024,56-70,4,1,0
38,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,1,2024,31-45,2,0,0
32,1,1,2,2,2,1,2,1,0,0,0,0,25,4,0,1,2024,31-45,2,1,1
80,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,2,2024,70+,5,0,0
81,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,2,2024,70+,5,0,0
30,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,2,2024,18-30,1,0,0
21,1,2,2,2,2,2,0,0,0,0,0,0,0,0,3,1,2024,18-30,1,0,0
46,1,1,1,2,2,2,2,1,2,1,0,0,45,4,0,2,2024,46-55,3,1,0
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,70+,5,0,0
41,1,1,2,2,2,1,2,1,0,0,0,0,35,4,0,1,2024,31-45,2,1,1
42,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,2,2024,31-45,2,0,0
65,2,2,1,1,2,1,0,0,2,1,2,1,30,2,0,1,2024,56-70,4,1,1
36,2,2,1,2,2,1,0,0,2,1,0,0,15,2,0,1,2024,31-45,2,1,1
23,1,1,1,2,2,1,1,2,2,1,0,0,60,3,0,1,2024,18-30,1,1,1
32,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,2024,31-45,2,0,0
45,1,1,2,2,2,2,2,1,0,0,0,0,40,4,0,1,2024,31-45,2,1,0
60,1,1,1,2,2,2,2,1,2,1,0,0,15,3,0,1,2024,56-70,4,1,0
61,1,1,2,2,2,2,2,1,0,0,0,0,20,3,0,2,2024,56-70,4,1,0
73,1,1,2,2,2,2,2,1,0,0,0,0,20,3,0,1,2024,70+,5,1,0
44,2,2,2,2,2,1,0,0,0,0,0,0,10,3,0,2,2024,31-45,2,0,1
